,Informant #,Age,Sex,County,City,State,Geolocation,Type,Education,Generation,Field worker,Notes
MA001,001,45,F,Plymouth,Bridgewater,MA,"41.9903° N, 70.9756° W",,,,CR,
MA002,002,76,M,Hampshire,Middlefield,MA,"42.3483° N, 73.0155° W",,,,MJ,
MA003,003,76,F,Hampshire,Cummington,MA,"42.4616° N, 72.8944° W",,,,MJ,
MA004,004,43,M,Hampshire,Cummington,MA,"42.4616° N, 72.8944° W",,,,MJ,
MA005,005,71,M,Plymouth,Bridgewater,MA,"41.9903° N, 70.9756° W",,,,CR,
MA006,006,56,M,Hampden,Holland,MA,"42.0639° N, 72.1578° W",,,,BB,
MA007,007,73,M,Essex,Haverhill (Ayers Village),MA,"42.7833° N, 71.0833° W",,,,GL,
MA008,008,85,F,Essex,Haverhill (Haverhill),MA,"42.7833° N, 71.0833° W",,,,GL,
MA009,009,68,F,Essex,Rockport,MA,"42.6556° N, 70.6208° W",,,,GL,
MA010,010,63,F,Essex,Haverhill (Haverhill),MA,"42.7833° N, 71.0833° W",,,,GL,
RI011,011,48,F,Washington,North Kingstown,RI,"41.5806° N, 71.4539° W",,,,RH,
MA012,012,73,M,Plymouth,Rochester,MA,"41.7317° N, 70.8206° W",,,,CR,
MA013,013,75,M,Franklin,Colrain,MA,"42.6730° N, 72.6972° W",,,,MJ,
MA014,014,66,M,Franklin,Deerfield (Old Deerfield),MA,"42.5444° N, 72.6061° W",,,,MJ,
MA015,015,64,F,Worcester,Hardwick,MA,"42.3500 °N, 72.2000° W",,,,BB,
MA016,016,63,M,Worcester,Hardwick,MA,"42.3500 °N, 72.2000° W",,,,BB,
RI017,017,66,F,Washington,Narrangansett (Point Judith),RI,"41.3610° N, 71.4814° W",,,,RH,
RI018,018,66,F,Newport,New Shoreham (Block Island),RI,"41.1697° N, 71.5800° W",,,,RH,
RI019,019,77,M,Newport,New Shoreham (Block Island),RI,"41.1697° N, 71.5800° W",,,,RH,
RI020,020,50,F,Newport,New Shoreham (Block Island),RI,"41.1697° N, 71.5800° W",,,,RH,
MA021,021,57,M,Plymouth,Hanover (North Hanover),MA,"42.1166° N, 70.8166° W",,,,CR,
MA022,022,39,M,Plymouth,Bridgewater,MA,"41.9903° N, 70.9756° W",,,,CR,
RI023,023,91,M,Newport,New Shoreham (Block Island),RI,"41.1697° N, 71.5800° W",,,,RH,
MA024,024,44,M,Essex,Rockport,MA,"42.6556° N, 70.6208° W",,,,GL,
MA025,025,81,M,Essex,Newbury (Byfield),MA,"42.7598° N, 70.9481° W",,,,GL,
MA026,026,81,M,Essex,Rockport,MA,"42.6556° N, 70.6208° W",,,,GL,LH age = 70
MA027,027,55,F,Essex,Newbury (Old Town),MA,"42.7598° N, 70.9481° W",,,,GL,
MA028,028,87,M,Essex,Rowley,MA,"42.7167° N, 70.8792° W",,,,GL,
MA029,029,BLANK,BLANK,Essex,Rowley,MA,"42.7167° N, 70.8792° W",,,,GL,Poss Inf. 2?
CT030,030,44,M,Fairfield,Weston,CT,"41.2256° N, 73.3706° W",,,,MLH,
VT031,031,73,M,Windsor,Plymouth (Tyson),VT,"43.5317° N, 72.7217° W",,,,LSH,
CT032,032,65,M,Middlesex,Old Saybrook,CT,"41.2939° N, 72.3825° W",,,,HK,
CT033,033,79,M,Middlesex,Killingworth (Killingworth) ,CT,"41.3805° N, 72.5763° W",,,,HK,
CT034,034,92,M,Middlesex,Old Saybrook,CT,"41.2939° N, 72.3825° W",,,,HK,
MA035,035,78,M,Plymouth,Hanover (North Hanover),MA,"42.1166° N, 70.8166° W",,,,CR,
MA036,036,67,M,Plymouth,Plymouth,MA,"41.9583° N, 70.6678° W",,,,CR,
MA037,037,80,F,Hampshire,Cummington,MA,"42.4616° N, 72.8944° W",,,,MJ,
MA038,038,67,M,Worcester,Spencer,MA,"42.2439° N, 71.9928° W",,,,BB,
CT039,039,60,M,Middlesex,Middletown,CT,"41.5622° N, 72.6508° W",,,,HK,
CT040,040,60,M,Middlesex,Middletown,CT,"41.5622° N, 72.6508° W",,,,HK,
CT041,041,68,M,Middlesex,Middletown,CT,"41.5622° N, 72.6508° W",,,,HK,
VT042,042,48,F,Windsor,Plymouth (Plymouth Union),VT,"43.5317° N, 72.7217° W",,,,LSH,
CT043,043,77,M,Fairfield,Weston,CT,"41.2256° N, 73.3706° W",,,,LSH,
RI044,044,73,M,Kent,East Greenwich,RI,"41.6500° N, 71.4833° W",,,,RH,
MA045,045,80,M,Bristol,Taunton,MA,"41.9000° N, 71.0903° W",,,,CR,Poss Raynham Inf.?
MA046,046,49,F,Plymouth,Rochester,MA,"41.7317° N, 70.8206° W",,,,CR,No matching Inf. in LH
MA047,047,36,M,Essex,Haverhill (Haverhill),MA,"42.7833° N, 71.0833° W",,,,GL,
